filename,bytes,sha256,detected_versions
CONSOLIDATED_USER_MANUAL.md,13803,aff6c93626e5ddf9d8893cc1a9f65a8414c3a0a4c072f690c7944e31fa5103c4,V0_9;V0_9_3;V0_9_34;V0_9_35;V0_9_37;V0_9_41;V0_9_42;V0_9_55;V0_9_57;V0_9_60
CONSOLIDATED_VERSION_HISTORY.md,9486,e944d6500ca8e9e38aed1db6a30e45c3714873473a943091f3d2bd2f96c5a6b4,V1_0_14;V1_0_15;V1_0_18;V1_0_24;V1_0_25;V1_0_26;V1_0_27;V1_0_28;V1_0_28_1;V1_0_28_2;V1_0_29;V1_0_30;V1_1_0_1;V1_1_1
DETAILED_ROADMAP_AND_TESTING_TIMELINE.md,12171,14f8e0049be0b6218b89bfbc484f10cb2a2494a779531961b25259b5a406a7ce,V0_9_15;V0_9_20;V0_9_32;V0_9_38;V0_9_42;V0_9_55;V0_9_56;V0_9_60
IOS_CORESPOTLIGHT_ROADMAP.md,18332,6817efdb6a07885046268251d0a25500e93445146ad32693872b91f193ae3d37,V0_8_59;V0_8_88_1;V0_9_1;V0_9_2;V0_9_3;V0_9_6;V0_9_10;V0_9_11;V0_9_11_1;V0_9_15;V0_9_17;V0_9_60
PATCH_SUMMARY_V0_5_0.md,1728,ba4a0d01e7907b3f0699c4cd1d9f3b8ebca1c272ffbd4eded27487300e56d86c,V0_5_0
PATCH_SUMMARY_V0_5_2.md,830,ac33f7279d30c949e9f969eb10495dfaab67dd96117d548aedf6ead60b727368,V0_5_1;V0_5_2
PATCH_SUMMARY_V0_5_3.md,1197,c665027d3311fe091c4a2b14bcf4b8830eeb3a5dfff1753a4520a8975ed70a94,V0_5_1;V0_5_2;V0_5_4
PATCH_SUMMARY_V0_5_4.md,1016,881d56c3e7060de4e38693819574816429c9d464207df12f27175657ace476a0,V0_5_3;V0_5_4
PATCH_SUMMARY_V0_5_5.md,1241,54ca0b02999157c996ea5cb84525e54d7823e9e723d81fb009c4eda75b2f9056,V0_5_5
PATCH_SUMMARY_V0_5_6.md,1606,86c5d18ce96a10eb2e03323aeb6b05c09f7df30fce06c886c8cb90dc83f680ad,V0_5_5;V0_5_6
PATCH_SUMMARY_V0_5_7.md,1067,dea898ba2fe43c5af9dd922c5dbfcee06f33da111afef8ed5030277156a5e545,V0_5_5;V0_5_6;V0_5_7
PATCH_SUMMARY_V0_5_9.md,1337,ae1cebf3a208cce0c1267c13ee531aae19d3be7b83059a6ca3095ea0f775d07f,V0_5_6;V0_5_8;V0_5_9
PATCH_SUMMARY_V0_6_0.md,1482,009a2f4e6e7c4dd0764c654988a0b3a06758807bdf5cb908ca60d2c7849d60ee,V0_6_0
PATCH_SUMMARY_V0_6_2.md,1182,dd00dc3a2662ea5c96cc5cde975f47dab15a2e30af516e732318e6b02dc7b0fa,V0_6;V0_6_1;V0_6_2
PATCH_SUMMARY_V0_6_3.md,1380,930fa3a5613e7059a4a58aa8c8bee262529a2209dd49469cd03ef9fc011ed31c,V0_6_3
PATCH_SUMMARY_V0_6_4.md,743,e2905ea8fb66a6a773af3f4ec5ba1ac053e59756eb6ff8fe71b314c079af0498,V0_6_3;V0_6_4
PATCH_SUMMARY_V0_6_5.md,406,133a93d3618e38fa6c4aa4c4f414c51bb6ce8a784b0bd1abde3e9d267a79edc4,V0_6_6_1
PATCH_SUMMARY_V0_6_5_1.md,759,2388f86e12185b317161d036a75f69b024492879005b2a433c2d6696b6610b38,V0_6_6
PATCH_SUMMARY_V0_6_6.md,626,541845dc5828fd36ff752346e240a4c3162adbbc1521ab3b3d859cac5a68bc34,V0_6_5_1;V0_6_7
PATCH_SUMMARY_V0_6_7.md,954,7bf7aa4e8386598a1ad8951e93f3c8ab72590c628f9c5bc00908fd18de054b69,V0_6_6;V0_6_7
PATCH_SUMMARY_V0_7_1.md,756,a1789b40403de4a9c11d9f5c763deafd9cb55c2b5d8022175671edae4b5dcba5,V0_7_0;V0_7_1
PATCH_SUMMARY_V0_7_10.md,1236,a2d59751537601a7b48a36b137387bc60daf4168a1b58cfb75bc4615521430c4,V0_7_10
PATCH_SUMMARY_V0_7_11.md,1110,da78c40972201d8722fe429e0f0c85d8e6b02e80e0c76793ac5533390d6c3999,V0_7_11
PATCH_SUMMARY_V0_7_12.md,506,b6232c7118b9b9bb2461211d8f7e2ae7c1f62db16f2da999c1dee1d50098f88c,V0_7_12
PATCH_SUMMARY_V0_7_13.md,1275,206e52b2bf29b6b06c7c97bfc8123b81492360c704b393b191edf7047660acae,V0_7_12;V0_7_13
PATCH_SUMMARY_V0_7_15.md,830,c9820f9ec150ddfec6db1ecf6bcfbb57ae4be1ad974b31ce7125acd336c38c01,V0_7_15
PATCH_SUMMARY_V0_7_15_1.md,366,474c87f6290429d744abb3fafcb65263865829de02ef6116bf002b1f34661a60,V0_7_15_1
PATCH_SUMMARY_V0_7_15_2.md,500,0a9d7ea24f33c51380ab348249e6b2c49a21db6845cbcd76298ccfc7aa730eda,V0_7_15_2
PATCH_SUMMARY_V0_7_15_5.md,1320,521f24cb26027488770033f68fbf29ad94390c57f849c4f4c090ad6c732cb1c6,V0_7_15;V0_7_15_2;V0_7_15_3;V0_7_15_4;V0_7_15_5
PATCH_SUMMARY_V0_7_16.md,1451,4a90c8acd01ef180f25e4df9409d76732deedf350a87e8d68e7d28296df129da,V0_7_15_7;V0_7_17
PATCH_SUMMARY_V0_7_17.md,1313,6feb3e29747237e307a225e22543e5e440c1b69b14bf3dfa70d0b8e592991b17,V0_7_16;V0_7_17
PATCH_SUMMARY_V0_7_19.md,1292,4ca103eb9c0c3476dc10a234116aacd0d62cf1999213ea38af3976c9fed6b55f,V0_7_18;V0_7_19
PATCH_SUMMARY_V0_7_2.md,956,587b9137e1a306b8cc7b8ae6866532cfd383a00cc7816b3d7ad746043adef1d8,V0_7_1;V0_7_2
PATCH_SUMMARY_V0_7_20.md,460,e8d264f3870fcd2b459d8b92224ea9a919f3524182c0995da1fa3112657a0eef,V0_7_20
PATCH_SUMMARY_V0_7_22.md,813,550a7d9c8f520e9a24c1eb68a2acbb90b6104daab566c1c65512efd121f4c976,V0_7_20;V0_7_22
PATCH_SUMMARY_V0_7_23.md,2059,9f2101fd6afefc835cd58477f1061226713efd1b79c0bfe5b6f9167c79e5c183,V0_7_22;V0_7_23
PATCH_SUMMARY_V0_7_23_2.md,843,8cdcc86ec589b84d03e06faca8eaa3ec395591317f11d4f2a2e2f52a29b05eb5,V0_7_23_1;V0_7_23_2
PATCH_SUMMARY_V0_7_23_3.md,889,ac6f92343c277cbfdb26dc6238214661a345f2a9f7e696a4f5056219979debb9,V0_7_23_2;V0_7_23_3
PATCH_SUMMARY_V0_7_23_5.md,1591,3c043cbec9ee2a3eb5b3909776c59c43658dda858d61425c3c9c0f8f989ce9b4,V0_7_23;V0_7_23_4;V0_7_23_5
PATCH_SUMMARY_V0_7_24.md,1338,60bc98851cd9821178af4cd8e86ebe9c85d2fc4694fc0712a7ab921912517c88,V0_7_23_6;V0_7_24
PATCH_SUMMARY_V0_7_24_3.md,753,ce62ee848ef35bf96dbc511f70690b3423ab6fd345806d32ff0f9a3df882fb75,V0_7_24_2;V0_7_24_3
PATCH_SUMMARY_V0_7_3.md,834,95ecc32d16c1ff53fb752fb2dc623844c5327cb03cfe2d7cbb3491c51d14ec7c,V0_7_3
PATCH_SUMMARY_V0_7_4.md,789,e4cd72d518d8ac13462848b1b39201d7f091eb952613df42d8ace2fa4df2a164,V0_7_4
PATCH_SUMMARY_V0_7_5.md,793,cb08bde523719d1f886f3eb975660c0d807dabba20bb1b5aaa15a229389854af,V0_7_4;V0_7_5
PATCH_SUMMARY_V0_7_6.md,950,9b8428d75bf4e33ac728785da005fe1f5c2099b26a3e93a9655a203f2f1ecf31,V0_7_6
PATCH_SUMMARY_V0_7_7.md,1336,312305382f6156a0f3edb90ead4ae4244dc88e631a5f4126314d90e99a57b665,V0_7_7
PATCH_SUMMARY_V0_7_8.md,1226,445fb4e651a9137bd2517fb4fa84fc5aa2e6a817bd521639be2d905ed9580723,V0_7_8
PROJECT_ROADMAP_AND_CONTINUATION.md,13864,8fdbb8c7efbe6268800c6aa7478195c099dd11a4aee273ab4427a6f93e423107,V0_8_69;V0_9_48;V0_9_55;V0_9_56;V0_9_57;V0_9_60;V1_0_0;V1_0_25;V1_0_26;V1_0_26_1;V1_0_27
RELEASE_NOTES.md,2220,078692072bf06b94e8341aed0588f1e216a64b1ab2060f68c38cf600be9e8b0f,V0_9_29;V0_9_30;V0_9_33
ROADMAP_CHECKLIST.md,11193,9de6fe1f0059b7b260fa1698116169b0658b700aa39a425025bd70d8190dd6b4,V1_0_18;V1_0_19;V1_0_22;V1_0_23;V1_0_24;V1_0_24_1;V1_0_25;V1_0_26;V1_0_26_1;V1_0_27;V1_0_28;V1_0_28_1;V1_0_28_2;V1_0_29;V1_0_30;V1_1_0_1;V1_1_1;V1_1_2;V1_1_3;V1_1_4;V1_1_5;V1_1_5_1;V1_1_6;V1_1_6_1
Spotlight_V0_8_93_1_review_and_next_test.txt.sha256,111,88f1c819480899c81962133e8d03c1987d3b6a4a547804bf7386a6a4b4bf0001,
Spotlight_V0_8_97_review_and_next_test.txt,3084,61c8d67407b3f4c940b2578b87b6bec7ba3ed3e54db652ac2c1bf2c356f85f54,V0_8_99
Spotlight_V0_8_97_review_and_next_test.txt.sha256,109,521bdee7ccbb5fc1ebef00525281064ef8a33382691af4617386deef326ae9d5,
Spotlight_V0_8_99_review_and_next_test.txt,2841,d48807e9784f60cf16b1acbc193b7996b549cfb790ce3c8c7fb95b8f7fbe9956,V0_8_98;V0_8_98_1;V0_8_99
Spotlight_V0_8_99_review_and_next_test.txt.sha256,111,bf9d636cc4ea43305ad4353fcf2f49ad4491c0d08e787f48d133327e9653cfff,
Spotlight_V0_9_2_review_and_next_test.txt,4411,9bbe5c80500261928300bad79badd017d806f77f4c94ed61ca1fb59039fef7b9,V0_8_98;V0_8_98_1;V0_9_4
SUGGESTIONS_AND_FIXES_TRACKER.md,21076,dc0ed19c2b00d4937eafc6da6d086344c1dc10de4ffe387691d5d134ad0c74c4,V1_0_22;V1_0_23;V1_0_24;V1_0_24_1;V1_0_25;V1_0_26;V1_0_26_1;V1_0_27;V1_0_28;V1_0_28_1;V1_0_28_2;V1_0_29;V1_0_30;V1_1_0_1;V1_1_1;V1_1_2;V1_1_3;V1_1_4;V1_1_5;V1_1_5_1;V1_1_6;V1_1_6_1
V0_9_11_1_CHANGE_VALIDATION_NOTE.txt,1375,06625fbe3b3d0f044adb077c102bf0effaea8fee143ca0d1e1b29ea253061242,V0_9_11;V0_9_11_1
V0_9_13_CHANGE_VALIDATION_NOTE.txt,1892,9055e4eb481117de657771e482624c9f3570fb09a7fff71e87f09f2f8343a262,V0_9_12;V0_9_15
V0_9_14_CHANGE_VALIDATION_NOTE.txt,1987,bea8f66609bccb714b1cb8e46f398eb9999983053ba2a67474af8447d2e186ab,V0_9_11;V0_9_13;V0_9_15
V0_9_15_CHANGE_VALIDATION_NOTE.txt,3145,259a03c7cddac1dfc18cdde83d845735705f51caed4bee81abfc74cabe3bd31f,V0_9_17
V0_9_17_CHANGE_VALIDATION_NOTE.txt,3125,a8efe8d1c3ebb117938c648da677d62249d6dd2f12d185c5eb80399f15e4fe35,V0_9_16;V0_9_17
V0_9_18_CHANGE_VALIDATION_NOTE.txt,4067,3223630b365f093ab9f7babc5fd206bee1f8b78783239308856211877e0e4678,V0_9_16;V0_9_17;V0_9_20
V0_9_19_CHANGE_VALIDATION_NOTE.txt,4327,26b334f4b470942987fa7dc0d549eeb9a63bb9413dae541a14f6c8312fd7bfc5,V0_9_18;V0_9_20
V0_9_1_CHANGE_VALIDATION_NOTE.txt,3951,94d8c098a81976cc9106c4a10cc2c8c05d70e84e922b78c8e0c993a2076d85f4,V0_9_0;V0_9_1
V0_9_20_CHANGE_VALIDATION_NOTE.txt,2705,bc7d898bc300d0c915c6076e4b82fac5f2b138817dbd2a8362e299851a39b4cb,V0_9_19;V0_9_20
V0_9_21_CHANGE_VALIDATION_NOTE.txt,2233,02719246ba0b03c7b3b78e7f8065baecdfbfbbe462451813061a35e35c2da23a,V0_9_20;V0_9_21
V0_9_22_CHANGE_VALIDATION_NOTE.txt,1194,b4a4581fa728f5734e1cc58e202b860724259768b5fa640c894233be41469fc4,V0_9_21;V0_9_22
V0_9_23_1_CHANGE_VALIDATION_NOTE.txt,835,ab7f87d5e3000953116a45dc233e77ee3f9714fba15ff0e9369477e5e5a50b57,V0_9_23;V0_9_24
V0_9_24_CHANGE_VALIDATION_NOTE.txt,2070,5914735c38ea0cb18320b7ebb7dd3daf8043e5a023b86b3efc7e3a539a68dca2,V0_9_23_1;V0_9_24
V0_9_25_CHANGE_VALIDATION_NOTE.txt,1042,4e3f557341acec94274cdbfeedcedaab8ef9a74ff27ec7b6b7c858e453cec78e,V0_9_24;V0_9_25
V0_9_26_1_CHANGE_VALIDATION_NOTE.txt,898,6496745bccedc1cc66954db4c37d1445ad36cdf852fcb8ef84db4f6418a048d9,V0_9_26;V0_9_26_2
V0_9_26_2_CHANGE_VALIDATION_NOTE.txt,885,318b520d1b23b1331e65480aace647f630d7a0a7041072a2232a0b38cdae15c8,V0_9_26_1;V0_9_26_2
V0_9_28_CHANGE_VALIDATION_NOTE.txt,1217,d813bec9aed0b8a9f2a12f0beef638103d32ae7ad7e5fa6d29b99d30dfb50dba,V0_9_27;V0_9_28
V0_9_29_CHANGE_VALIDATION_NOTE.txt,1064,f524ae09be465135b6ace2bce9bb311aaaa1b113555ce643e6e02ac9561b7013,V0_9_28;V0_9_29
V0_9_2_CHANGE_VALIDATION_NOTE.txt,3406,acb32ba8a757a63b88b1c534a23b0227e4634e4ebdb32a999fd74589bab56011,V0_9_1;V0_9_4
V0_9_30_CHANGE_VALIDATION_NOTE.txt,748,fea2422733fc745b22c6c4a225baa5fb547a7194124d24c5bbede92dc69dd1d6,V0_9_29;V0_9_32
V0_9_32_CHANGE_VALIDATION_NOTE.txt,2167,08dc678260d6376644c030362e76beecb4a0e863d4177eab77f49ad850186b38,V0_9_31;V0_9_32
V0_9_34_REVIEW_NOTES.md,1014,bf7ebe3c8d1b21fecacc19eeb496a9947f982d4446a680df703a4c5a0e3f57ce,V0_9_33;V0_9_34
V0_9_36_REVIEW_NOTES.md,1679,78276b004429125bd80e716e7dc48fb820327b0cafc6ff71e7b163f744ad2338,V0_9_34;V0_9_35;V0_9_37
V0_9_37_REVIEW_NOTES.md,3599,8ad73cdba128dadd934088caef7747d91183142657d64330e7fde90830cae873,V0_9_36;V0_9_37
V0_9_38_REVIEW_NOTES.md,2015,3e1d4a9845dd3137c945434f809ec2cf8683fab5f4b8ba03a580f52dace4686b,V0_9_37;V0_9_39
V0_9_39_REVIEW_NOTES.md,2343,b494daf15d4dd6ec9ce8e0fc6de3a9c9de3f763a155b24a914e1bc76e4408be1,V0_9_37;V0_9_38;V0_9_39
V0_9_3_CHANGE_VALIDATION_NOTE.txt,2519,f6972146146613d0321cd6a8f84c7793eb9e8aa34d8841df5e9b88b11b45bdfa,V0_9_2;V0_9_4
V0_9_40_REVIEW_NOTES.md,2327,8606e8b98c482564a1d4816fbafe6367a050eba6577584743635107a751e05d4,V0_9_39;V0_9_42
V0_9_41_REVIEW_NOTES.md,2264,9ac164972d2e752945a39612e26ba2dcc0df5f69cc7273120c6c215d163ccd7e,V0_9_40;V0_9_42
V0_9_42_REVIEW_NOTES.md,1570,a3bf59e426efa2fd881ae250f293e0c9ff922c4be6c22964d6cd680cabc0baec,V0_9_41;V0_9_42
V0_9_4_CHANGE_VALIDATION_NOTE.txt,1771,19fb1610501b9c6c7cc7a76d7d56c83d39dbb183835fc77fd4811bb410d9578b,V0_9_3;V0_9_4
V0_9_52_REVIEW_NOTES.md,1476,a4b41eb7be5f545a64a3e8cddf266cecbfac71a6a56682ab0096fdd2bb77d980,V0_9_51;V0_9_54
V0_9_5_CHANGE_VALIDATION_NOTE.txt,2773,3bf779077f00e79a1bb2ca4fd55bcb4dd7ef25fb001f69fadbc334de4af7c9dd,V0_9_4;V0_9_5
V0_9_6_CHANGE_VALIDATION_NOTE.txt,2804,2f55e0f5034e3ade7a0c49f627d65c1ab5a50733e8e92fd4244e24818b6a9fd9,V0_9_4;V0_9_5;V0_9_6
VERSION_HISTORY_1.md,12028,9575dd05fa9b6c8a3b218cf670a0c6fbd891957cb58bc54b1a5d5e66ecde33a2,V1_0_14;V1_0_15;V1_0_18;V1_0_24;V1_0_25;V1_0_26;V1_0_27;V1_0_28;V1_0_28_1;V1_0_28_2;V1_0_29;V1_0_30;V1_1_0_1;V1_1_1;V1_1_2;V1_1_3;V1_1_4;V1_1_5_1;V1_1_6;V1_1_6_1
VERSION_HISTORY_2.md,12167,868b82553ebea26e1c2e8d5056365c577e25fc3f3e19113ac024fb4f55a6ba31,V0_8_69;V0_9_54;V0_9_55;V0_9_56;V0_9_57;V0_9_60;V1_0_0;V1_0_1;V1_0_3;V1_0_4;V1_0_5;V1_0_6;V1_0_7;V1_0_8;V1_0_12;V1_0_14
VERSION_HISTORY_4.md,1078,8a8bad9f37e91fd7c8650a9181a0d8624bed6db2b9af1b7c7fc1a917916f3781,V0_9_31;V0_9_33
VERSION_HISTORY_5.md,11179,492527e19908bbdb12c23a89def082dab745c83c198921241aa6318e90d552c3,V0_8;V0_8_74;V0_8_81;V0_8_82;V0_8_83;V0_8_84;V0_8_85;V0_8_85_1;V0_8_86;V0_8_87;V0_8_88_1;V0_8_89;V0_8_89_1;V0_8_90;V0_8_93;V0_8_93_3;V0_8_99
Current_V1_1_7_source/VERSION_HISTORY.md,12700,4035e9ada20acb83f8e4f072905ddfe2d16021eeaf42537eec5d62b8d9fac962,V1_0_14;V1_0_15;V1_0_18;V1_0_24;V1_0_25;V1_0_26;V1_0_27;V1_0_28;V1_0_28_1;V1_0_28_2;V1_0_29;V1_0_30;V1_1_0_1;V1_1_1;V1_1_2;V1_1_3;V1_1_4;V1_1_5_1;V1_1_6;V1_1_6_1;V1_1_7
Current_V1_1_7_source/CONSOLIDATED_VERSION_HISTORY.md,8296,2874deef3979d07b589c19639fbb594f520aa9f0e31aa4890891c7671cd27585,V1_0_14;V1_0_15;V1_0_18;V1_0_24;V1_0_24_1;V1_0_25;V1_0_26;V1_0_27;V1_0_28_2;V1_0_29;V1_0_30;V1_1_2;V1_1_3;V1_1_4;V1_1_5_1
Current_V1_1_7_source/docs/CONSOLIDATED_VERSION_HISTORY.md,9486,e944d6500ca8e9e38aed1db6a30e45c3714873473a943091f3d2bd2f96c5a6b4,V1_0_14;V1_0_15;V1_0_18;V1_0_24;V1_0_25;V1_0_26;V1_0_27;V1_0_28;V1_0_28_1;V1_0_28_2;V1_0_29;V1_0_30;V1_1_0_1;V1_1_1
Current_V1_1_7_source/docs/WORKFLOW_LEDGER.md,8780,7b8d59a43138aee3f7038c93db2b962390cb9e430202c8d8de978e952c63616c,V1_1_2;V1_1_3;V1_1_4;V1_1_5;V1_1_5_1;V1_1_6;V1_1_6_1;V1_1_7
Current_V1_1_7_source/docs/ROADMAP_CHECKLIST.md,11940,9357365440341fdd38608cf2799d5ab088c6f04bfd1e381377376fa36b25741c,V1_0_18;V1_0_19;V1_0_22;V1_0_23;V1_0_24;V1_0_24_1;V1_0_25;V1_0_26;V1_0_26_1;V1_0_27;V1_0_28;V1_0_28_1;V1_0_28_2;V1_0_29;V1_0_30;V1_1_0_1;V1_1_1;V1_1_2;V1_1_3;V1_1_4;V1_1_5;V1_1_5_1;V1_1_6;V1_1_6_1;V1_1_7
Current_V1_1_7_source/docs/SUGGESTIONS_AND_FIXES_TRACKER.md,21823,83c829a6add6abfe889cd66c9e89e43549a6463b2e465010736b54779a3e5b67,V1_0_22;V1_0_23;V1_0_24;V1_0_24_1;V1_0_25;V1_0_26;V1_0_26_1;V1_0_27;V1_0_28;V1_0_28_1;V1_0_28_2;V1_0_29;V1_0_30;V1_1_0_1;V1_1_1;V1_1_2;V1_1_3;V1_1_4;V1_1_5;V1_1_5_1;V1_1_6;V1_1_6_1;V1_1_7
Current_V1_1_7_generated/validation/V1_1_7_validation_notes.md,907,f25816442608e1a7b79bd6818cbe704685db2fd0d073472027a5ec7bc4c8b033,V1_1_6_1;V1_1_7
